file,top_folder,campaign,file_type,rows,columns,read_ok,sheet
outputs/generated/nitro_bioisostere_campaign/mol2mol_similarity/curriculum_learning/mol2mol_similarity_cl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_similarity/curriculum_learning,scored,4842,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_similarity/plain/mol2mol_similarity_plain_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_similarity/plain,optimal,6,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_similarity/plain/mol2mol_similarity_plain_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_similarity/plain,scored,2317,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_similarity/reinforcement_learning/mol2mol_similarity_rl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_similarity/reinforcement_learning,optimal,52,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_similarity/reinforcement_learning/mol2mol_similarity_rl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_similarity/reinforcement_learning,scored,4316,58,True,Compounds
outputs/generated/pepinvent/curriculum_learning/pepinvent_cl_generated_optimal.xlsx,pepinvent,pepinvent/curriculum_learning,optimal,0,15,True,Compounds
outputs/generated/pepinvent/curriculum_learning/pepinvent_cl_generated_scored.xlsx,pepinvent,pepinvent/curriculum_learning,scored,8,15,True,Compounds
outputs/generated/pepinvent/plain/pepinvent_plain_generated_optimal.xlsx,pepinvent,pepinvent/plain,optimal,0,15,True,Compounds
outputs/generated/pepinvent/plain/pepinvent_plain_generated_scored.xlsx,pepinvent,pepinvent/plain,scored,8,15,True,Compounds
outputs/generated/pepinvent/reinforcement_learning/pepinvent_rl_generated_optimal.xlsx,pepinvent,pepinvent/reinforcement_learning,optimal,0,15,True,Compounds
outputs/generated/pepinvent/reinforcement_learning/pepinvent_rl_generated_scored.xlsx,pepinvent,pepinvent/reinforcement_learning,scored,8,15,True,Compounds
outputs/generated/qsar/Generated_scaffold_generation_with_predictions.xlsx,qsar,qsar,other,5,16,True,Compounds
outputs/generated/qsar/Generated_scaffold_hopping_with_predictions.xlsx,qsar,qsar,other,4869,16,True,Compounds
outputs/generated/qsar/Generated_similarity_with_predictions.xlsx,qsar,qsar,other,823,16,True,Compounds
outputs/generated/reinforcement_learning/rl_generated_optimal.xlsx,reinforcement_learning,reinforcement_learning,optimal,3,15,True,Compounds
outputs/generated/reinforcement_learning/rl_generated_scored.xlsx,reinforcement_learning,reinforcement_learning,scored,1956,15,True,Compounds
outputs/generated/reinvent/curriculum_learning/reinvent_cl_generated_optimal.xlsx,reinvent,reinvent/curriculum_learning,optimal,1,15,True,Compounds
outputs/generated/reinvent/curriculum_learning/reinvent_cl_generated_scored.xlsx,reinvent,reinvent/curriculum_learning,scored,1974,15,True,Compounds
outputs/generated/reinvent/plain/reinvent_plain_generated_optimal.xlsx,reinvent,reinvent/plain,optimal,0,15,True,Compounds
outputs/generated/reinvent/plain/reinvent_plain_generated_scored.xlsx,reinvent,reinvent/plain,scored,1960,15,True,Compounds
outputs/generated/reinvent/reinforcement_learning/reinvent_rl_generated_optimal.xlsx,reinvent,reinvent/reinforcement_learning,optimal,0,15,True,Compounds
outputs/generated/reinvent/reinforcement_learning/reinvent_rl_generated_scored.xlsx,reinvent,reinvent/reinforcement_learning,scored,1962,15,True,Compounds
outputs/generated/reinvent_pubchem/curriculum_learning/reinvent_pubchem_cl_generated_optimal.xlsx,reinvent_pubchem,reinvent_pubchem/curriculum_learning,optimal,11,17,True,Compounds
outputs/generated/reinvent_pubchem/curriculum_learning/reinvent_pubchem_cl_generated_scored.xlsx,reinvent_pubchem,reinvent_pubchem/curriculum_learning,scored,544,17,True,Compounds
outputs/generated/reinvent_pubchem/plain/reinvent_pubchem_plain_generated_optimal.xlsx,reinvent_pubchem,reinvent_pubchem/plain,optimal,625,17,True,Compounds
outputs/generated/reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.xlsx,reinvent_pubchem,reinvent_pubchem/plain,scored,21467,17,True,Compounds
outputs/generated/reinvent_pubchem/reinforcement_learning/reinvent_pubchem_rl_generated_optimal.xlsx,reinvent_pubchem,reinvent_pubchem/reinforcement_learning,optimal,0,58,True,Compounds
outputs/generated/reinvent_pubchem/reinforcement_learning/reinvent_pubchem_rl_generated_scored.xlsx,reinvent_pubchem,reinvent_pubchem/reinforcement_learning,scored,13,58,True,Compounds
