iter	Passed	Remaining
181	1659	7458
182	1668	7448
183	1677	7439
184	1685	7423
185	1694	7416
186	1703	7405
187	1712	7394
188	1721	7385
189	1729	7375
190	1738	7364
191	1747	7353
192	1756	7343
193	1764	7331
194	1773	7319
195	1782	7312
196	1791	7304
197	1801	7295
198	1809	7284
199	1818	7273
200	1826	7262
201	1835	7250
202	1844	7240
203	1852	7228
204	1862	7220
205	1870	7210
206	1879	7198
207	1888	7191
208	1897	7180
209	1906	7170
210	1914	7159
211	1923	7149
212	1933	7142
213	1941	7131
214	1951	7124
215	1959	7113
216	1968	7103
217	1977	7093
218	1987	7088
219	1996	7078
220	2005	7068
221	2013	7057
222	2022	7047
223	2032	7040
224	2040	7028
225	2049	7019
226	2057	7007
227	2066	6997
228	2077	6993
229	2087	6988
230	2095	6977
231	2104	6967
232	2113	6956
233	2122	6947
234	2130	6937
235	2139	6926
236	2148	6915
237	2156	6905
238	2165	6896
239	2174	6886
240	2183	6876
241	2192	6867
242	2200	6855
243	2209	6846
244	2218	6837
245	2228	6831
246	2237	6822
247	2246	6811
248	2255	6802
249	2263	6791
250	2273	6784
251	2282	6774
252	2291	6766
253	2300	6756
254	2309	6748
255	2318	6737
256	2327	6729
257	2337	6723
258	2347	6716
259	2356	6708
260	2367	6702
261	2375	6692
262	2385	6684
263	2394	6674
264	2403	6666
265	2411	6654
266	2421	6648
267	2430	6639
268	2439	6630
269	2448	6619
270	2457	6610
271	2466	6600
272	2474	6589
273	2483	6579
274	2491	6568
275	2499	6556
276	2508	6546
277	2516	6535
278	2525	6525
279	2533	6515
280	2543	6507
281	2552	6498
282	2561	6488
283	2570	6479
284	2579	6471
285	2588	6462
286	2597	6453
287	2606	6444
288	2616	6436
289	2625	6428
290	2634	6418
291	2643	6409
292	2652	6399
293	2660	6389
294	2670	6382
295	2679	6372
296	2688	6364
297	2696	6353
298	2705	6343
299	2714	6334
300	2723	6324
301	2732	6315
302	2740	6304
303	2750	6296
304	2759	6287
305	2768	6277
306	2776	6268
307	2786	6259
308	2795	6250
309	2803	6240
310	2813	6232
311	2821	6221
312	2831	6214
313	2839	6203
314	2848	6194
315	2857	6185
316	2866	6176
317	2875	6167
318	2884	6158
319	2893	6148
320	2902	6138
321	2911	6130
322	2920	6120
323	2929	6111
324	2938	6102
325	2947	6093
326	2955	6083
327	2964	6074
328	2974	6066
329	2984	6058
330	2993	6049
331	3001	6038
332	3010	6030
333	3019	6020
334	3028	6012
335	3037	6002
336	3046	5992
337	3055	5983
338	3063	5973
339	3072	5965
340	3081	5956
341	3091	5948
342	3100	5938
343	3109	5929
344	3118	5921
345	3127	5912
346	3136	5902
347	3145	5893
348	3155	5885
349	3163	5875
350	3173	5867
351	3181	5857
352	3191	5848
353	3199	5839
354	3208	5829
355	3217	5821
356	3226	5811
357	3235	5802
358	3245	5794
359	3254	5785
360	3263	5776
361	3273	5768
362	3282	5759
363	3291	5750
364	3299	5739
365	3308	5731
366	3317	5721
367	3326	5712
368	3334	5702
369	3344	5693
370	3353	5685
371	3362	5676
372	3371	5667
373	3380	5658
374	3389	5649
375	3398	5639
376	3406	5629
377	3415	5619
378	3424	5610
379	3433	5602
380	3442	5592
381	3451	5584
382	3459	5573
383	3468	5564
384	3477	5555
385	3486	5546
386	3495	5536
387	3504	5528
388	3514	5520
389	3523	5510
390	3532	5501
391	3541	5492
392	3549	5482
393	3558	5473
394	3567	5464
395	3576	5455
396	3585	5446
397	3595	5438
398	3605	5430
399	3614	5421
400	3623	5412
401	3632	5403
402	3641	5394
403	3651	5386
404	3660	5377
405	3669	5368
406	3677	5358
407	3686	5349
408	3696	5341
409	3706	5333
410	3714	5323
411	3723	5314
