Identifier,Series,Canonical SMILES,Smiles,IC50 uM,PIC50
TB-VS12-59,Series A,CCCCCCC#CC1=CC(C2=NN=C(SC3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SC3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)N2C)=CN=C1,1.111,5.9542859410591324
TB-VS12-61,Series A,CCCCCCC#CC1=CC(C2=NN=C(SC)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SC)N2C)=CN=C1,48.44,4.3147958655289855
TB-VS12-62,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=NC=C([N+]([O-])=O)N3C)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=NC=C([N+]([O-])=O)N3C)N2C)=CN=C1,93.72,4.028167720075075
TB-VS12-63,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC4=NON=C4C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC4=NON=C4C=C3)N2C)=CN=C1,200,3.6989700043360187
TB-VS12-64,Series A,ClC(C=C1)=CC=C1C(N2C)=NN=C2SCC3=CN=CC(C#CCCCCCC)=C3,ClC(C=C1)=CC=C1C(N2C)=NN=C2SCC3=CN=CC(C#CCCCCCC)=C3,200,3.6989700043360187
TB-VS12-65,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C4(C(F)(F)F)N=N4)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C4(C(F)(F)F)N=N4)C=C3)N2C)=CN=C1,200,3.6989700043360187
TB-VS12-66,Series A,CN1C(C2=CN=CC(CCCCCCCC)=C2)=NN=C1SCC3=CC=C(Cl)C=C3,CN1C(C2=CN=CC(CCCCCCCC)=C2)=NN=C1SCC3=CC=C(Cl)C=C3,200,3.6989700043360187
TB-VS12-68,Series A,CN1C(C2=CN=CC(C#CC3(CC4C5)CC(C4)CC5C3)=C2)=NN=C1SCC6=CC=C(Cl)C=C6,CN1C(C2=CN=CC(C#CC3(CC4C5)CC(C4)CC5C3)=C2)=NN=C1SCC6=CC=C(Cl)C=C6,200,3.6989700043360187
TB-VS12-69,Series A,ClC1=CC=C(C=C1)CSC2=NN=C(N2C)C3=CC(C#CCCCCCC)=C[NH+]=C3.[Cl-],ClC1=CC=C(C=C1)CSC2=NN=C(N2C)C3=CC(C#CCCCCCC)=C[NH+]=C3.[Cl-],4.63,5.334419008982047
TB-VS12-70,Series A,CN1C(SCCC2=CC=C(Cl)C=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,CN1C(SCCC2=CC=C(Cl)C=C2)=NN=C1C3=CC(C#CCCCCCC)=CN=C3,8.207,5.085815566576754
TB-VS12-71,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(Cl)C=C3)S2)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(Cl)C=C3)S2)=CN=C1,200,3.6989700043360187
TB-VS12-72,Series A,CN1C(C2=CC(C#CCCCCCC)=CN=C2)=NN=C1SC3=CC=C(Cl)C=C3,CN1C(C2=CC(C#CCCCCCC)=CN=C2)=NN=C1SC3=CC=C(Cl)C=C3,13.29,4.876475019057268
TB-VS12-73,Series A,CCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=C1,CCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=C1,1.161,5.935167780261426
TB-VS12-74,Series A,CCCCCCCCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC=C([N+]([O-])=O)O4)=C1,CCCCCCCCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC=C([N+]([O-])=O)O4)=C1,0.0475,7.323306390375134
TB-VS12-75,Series A,ClC1=CC=C(CCN2N=NC(C3=CN=CC(C#CCCCCCC)=C3)=C2)C=C1,ClC1=CC=C(CCN2N=NC(C3=CN=CC(C#CCCCCCC)=C3)=C2)C=C1,200,3.6989700043360187
TB-VS12-76,Series A,CN1C(C2=CC(C#CCCCCCC)=CN=C2)=CC=C1SCC3=CC=C(Cl)C=C3,CN1C(C2=CC(C#CCCCCCC)=CN=C2)=CC=C1SCC3=CC=C(Cl)C=C3,16.67,4.778064400171995
TB-VS12-83,Series A,CCCCCCCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=C1,CCCCCCCC#CC1=CN=CC(C(N2C3CC3)=NN=C2SCC4=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C4)=C1,0.9453,6.024430342106338
TB-VS12-85,Series A,ClC1=CC=C(CSC2=NN=C(C3=CN=C(N4CCNCC4)C=C3)N2C)C=C1,ClC1=CC=C(CSC2=NN=C(C3=CN=C(N4CCNCC4)C=C3)N2C)C=C1,200,3.6989700043360187
TB-VS12-86,Series A,ClC1=CC=C(CSC2=NN=C(C3=CN=C(N4CCN(C(OC(C)(C)C)=O)CC4)C=C3)N2C)C=C1,ClC1=CC=C(CSC2=NN=C(C3=CN=C(N4CCN(C(OC(C)(C)C)=O)CC4)C=C3)N2C)C=C1,200,3.6989700043360187
